Action name,Iteration,Status,Responsiveness,Start time,End time,"Duration, msec"
TV_Stream/StartLinear,19,Passed,N/A,2020-10-02 11:36:14.032000,2020-10-02 11:36:27.648000,2684
TV_Stream/StartLinear,20,Passed,N/A,2020-10-02 11:38:57.916000,2020-10-02 11:39:12.699000,2332
TV_Stream/StartLinear,21,Passed,N/A,2020-10-02 11:41:32.221000,2020-10-02 11:41:47.309000,2549
TV_Stream/StartLinear,22,Passed,N/A,2020-10-02 11:44:08.487000,2020-10-02 11:44:22.932000,2469
TV_Stream/StartLinear,23,Passed,N/A,2020-10-02 11:46:44.449000,2020-10-02 11:46:57.483000,2516
TV_Stream/StartLinear,24,Passed,N/A,2020-10-02 11:49:18.099000,2020-10-02 11:49:32.529000,2510
TV_Stream/StartLinear,25,Passed,N/A,2020-10-02 11:51:56.179000,2020-10-02 11:52:10.961000,2696
TV_Stream/StartLinear,26,Passed,N/A,2020-10-02 11:54:32.680000,2020-10-02 11:54:48.020000,2575
TV_Stream/StartLinear,27,Passed,N/A,2020-10-02 11:57:11.194000,2020-10-02 11:57:26.195000,2643
TV_Stream/StartLinear,28,Passed,N/A,2020-10-02 11:59:44.457000,2020-10-02 11:59:59.117000,2460
TV_Stream/StartLinear,29,Passed,N/A,2020-10-02 12:02:23.900000,2020-10-02 12:02:38.069000,2105
TV_Stream/StartLinear,30,Passed,N/A,2020-10-02 12:05:00.335000,2020-10-02 12:05:15.510000,2623
TV_Stream/StartLinear,31,Passed,N/A,2020-10-02 12:07:43.981000,2020-10-02 12:07:58.827000,2636
TV_Stream/StartLinear,32,Passed,N/A,2020-10-02 12:10:23.207000,2020-10-02 12:10:35.971000,2297
TV_Stream/StartLinear,33,Passed,N/A,2020-10-02 12:13:00.033000,2020-10-02 12:13:13.279000,2465
